snapped_at,price,market_cap,total_volume
2018-10-16 00:00:00 UTC,6659.87550840943,115236573309.55300,6217858944.018430
2018-10-17 00:00:00 UTC,6635.125667516840,114960968517.5380,2746546151.2501100
2018-10-18 00:00:00 UTC,6635.741832487940,114953321633.49300,2820354466.330310
2018-10-19 00:00:00 UTC,6517.511087710530,112970698851.37500,2625598930.5728400
2018-10-20 00:00:00 UTC,6483.827769471800,112394945004.92700,2652532021.929970
2018-10-21 00:00:00 UTC,6532.678750383810,113214078424.96100,2387105749.143390
2018-10-22 00:00:00 UTC,6529.670021370840,113208108538.70500,2127987152.5866500
2018-10-23 00:00:00 UTC,6512.589059298920,112905904007.05700,2655159954.716830
2018-10-24 00:00:00 UTC,6472.799660641590,112227883463.22100,2784381146.568880
2018-10-25 00:00:00 UTC,6481.443589558080,112363064964.16600,2607022301.561290
2018-10-26 00:00:00 UTC,6458.191521836800,112010056845.21800,2618534041.346840
2018-10-27 00:00:00 UTC,6468.826424965620,112200801079.02800,2698016930.8820100
2018-10-28 00:00:00 UTC,6457.058635186670,111998326691.92000,2383295890.5582400
2018-10-29 00:00:00 UTC,6481.323141667610,112422008134.01100,2065446088.788400
2018-10-30 00:00:00 UTC,6292.6479239344,109167179052.3810,3631795693.013340
2018-10-31 00:00:00 UTC,6331.781807909810,109890575608.10500,1962209613.9890000
2018-11-01 00:00:00 UTC,6366.720109554260,110487418903.24500,2042670545.032490
2018-11-02 00:00:00 UTC,6379.972972168430,110896563654.92200,2922702484.006450
2018-11-03 00:00:00 UTC,6425.4415830402100,111528929052.5210,2675454291.399590
2018-11-04 00:00:00 UTC,6388.1897883073700,110888814023.684,2582446886.6230800
2018-11-05 00:00:00 UTC,6351.061941056290,110241536216.1870,3198297931.7470800
2018-11-06 00:00:00 UTC,6415.443408541090,111383003826.06800,3213571991.0860000
2018-11-07 00:00:00 UTC,6474.847290336690,112347500910.42700,3408876943.8566700
2018-11-08 00:00:00 UTC,6574.801180290010,113943582818.14400,3120683820.785000
2018-11-09 00:00:00 UTC,6490.454730761760,112723294658.02600,2402484611.4646900
2018-11-10 00:00:00 UTC,6413.78203857173,111440702127.79500,2707057000.4786200
2018-11-11 00:00:00 UTC,6429.898792074220,111308110603.01000,1672332107.6089800
2018-11-12 00:00:00 UTC,6434.2845969255500,111773252086.90700,2943678893.5684300
2018-11-13 00:00:00 UTC,6411.353436205150,111385885801.71500,2651674690.982870
2018-11-14 00:00:00 UTC,6394.289276264060,111126759494.65400,2890964719.217390
2018-11-15 00:00:00 UTC,5788.612494046970,100585460320.22000,5690409836.804630
2018-11-16 00:00:00 UTC,5686.541131058270,98829079080.72420,4981978552.514330
2018-11-17 00:00:00 UTC,5609.956182334200,97344067023.98210,3236633357.0467100
2018-11-18 00:00:00 UTC,5599.1915956893000,97299989131.4034,2525819291.4931500
2018-11-19 00:00:00 UTC,5638.861481452400,98118875508.37690,2422604400.7507700
2018-11-20 00:00:00 UTC,4889.197859239110,85228342224.36000,6126269575.232110
2018-11-21 00:00:00 UTC,4450.711454417820,76601948314.49550,6314969584.020990
2018-11-22 00:00:00 UTC,4613.44841218385,80360705527.42930,4321511764.357210
2018-11-23 00:00:00 UTC,4307.388731717270,75518575145.29530,3055231902.513540
2018-11-24 00:00:00 UTC,4376.904946801550,76120308175.56720,3520222575.53617
2018-11-25 00:00:00 UTC,3895.8368129589900,67756132282.086800,3115187178.442390
2018-11-26 00:00:00 UTC,4039.836551137430,70327984591.03270,5226773378.179890
2018-11-27 00:00:00 UTC,3811.9235292664900,66796155268.6834,4652103083.720620
2018-11-28 00:00:00 UTC,3832.92451590069,66811830848.48210,4050028039.1486400
2018-11-29 00:00:00 UTC,4267.243628990660,74381953561.03810,4973628807.699460
2018-11-30 00:00:00 UTC,4279.475592548710,74400715839.6163,4313265392.487120
2018-12-01 00:00:00 UTC,4009.6895798260000,69715049461.01840,4007783472.5882100
2018-12-02 00:00:00 UTC,4189.573822999860,73075855208.30000,3183894471.4847600
2018-12-03 00:00:00 UTC,4124.593548643220,71784475615.70910,3242289555.8219700
2018-12-04 00:00:00 UTC,3878.8392347832700,67489136960.41760,3128854932.5753700
2018-12-05 00:00:00 UTC,3943.6928120656000,68592152288.353700,3255899964.55098
2018-12-06 00:00:00 UTC,3751.691966395660,65355774058.35720,3020004368.112700
2018-12-07 00:00:00 UTC,3466.763863771730,60357918912.004600,3672494312.3177900
2018-12-08 00:00:00 UTC,3408.5236170431300,59348913269.876600,5243194483.926530
2018-12-09 00:00:00 UTC,3424.7058606626000,59526617773.597800,3430203804.247040
2018-12-10 00:00:00 UTC,3550.546433896890,61832986280.19320,2938443353.811620
2018-12-11 00:00:00 UTC,3433.8084404312800,59805353928.82640,2614506143.32925
2018-12-12 00:00:00 UTC,3378.808778413110,58852767064.15520,2720740076.8003100
2018-12-13 00:00:00 UTC,3438.1000735289800,59878323499.6965,2552041789.9907000
2018-12-14 00:00:00 UTC,3294.636156545270,57318285688.441800,2620531732.8481600
2018-12-15 00:00:00 UTC,3216.6271499079400,55998515509.38870,2663819604.586120
